Posttraumatic stress disorder	PTSD
Cardiac Arrest	 Sudden cardiac death
Rheumatoid arthritis	RA
Diabetes	 DM
Seizure	Seizures
Alcoholism	 Alcoholism
Stroke	Brain attack
Heart Attack	 Myocardial infarction
Pneumonia	Bronchopneumonia
Atrial Fibrillation	 AFib
Chicken Pox	Varicella
Alcoholism	Alcohol Abuse
Diabetes	Diabetes mellitus
Gout	Gouty arthritis
Blighted Ovum	Miscarriage
Cardiac Arrest	SCA
Heart Attack	MI
Atrial Fibrillation	AF
Alcoholism	 Alcohol dependence
Stroke	 CVA
Diabetes	Diabetes mellitus
Diabetes	 DM
Diabetes	Diabetes mellitus
Diabetes	 DM
